ALGORITHM, GESTURE, # OF SELECTED SENSORS, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Square, Gyr, 14, 0.95, 0.67, 61, 755, 751, 4, 40, 21, 0.01, 0.66, 0.40
RF-501, Square, Gyr, 15, 0.95, 0.74, 73, 743, 740, 3, 37, 36, 0.00, 0.51, 0.34
RF-501, Circle, RotVec, 1, 0.97, 0.84, 42, 570, 567, 3, 13, 29, 0.01, 0.31, 0.24
RF-501, Circle, RotVec, 2, 0.99, 0.91, 47, 565, 565, 0, 8, 39, 0.00, 0.17, 0.15
RF-501, Circle, RotVec, 3, 0.98, 0.93, 59, 553, 549, 4, 8, 51, 0.01, 0.14, 0.12
RF-501, Circle, RotVec, 4, 0.99, 0.90, 35, 577, 575, 2, 7, 28, 0.00, 0.20, 0.17
RF-501, Circle, RotVec, 5, 0.98, 0.90, 40, 572, 567, 5, 8, 32, 0.01, 0.20, 0.17
RF-501, Circle, RotVec, 6, 0.99, 0.93, 45, 567, 566, 1, 6, 39, 0.00, 0.13, 0.12
RF-501, Circle, RotVec, 7, 1.00, 0.96, 37, 575, 575, 0, 3, 34, 0.00, 0.08, 0.07
RF-501, Circle, RotVec, 8, 0.97, 0.86, 48, 564, 560, 4, 13, 35, 0.01, 0.27, 0.21
RF-501, Circle, RotVec, 9, 0.99, 0.90, 46, 566, 566, 0, 9, 37, 0.00, 0.20, 0.16
RF-501, Circle, RotVec, 10, 0.99, 0.88, 39, 573, 573, 0, 9, 30, 0.00, 0.23, 0.19
RF-501, Circle, RotVec, 11, 1.00, 0.97, 29, 583, 583, 0, 2, 27, 0.00, 0.07, 0.06
RF-501, Circle, RotVec, 12, 1.00, 1.00, 33, 579, 577, 2, 0, 33, 0.00, 0.00, 0.00
RF-501, Circle, RotVec, 13, 1.00, 0.98, 32, 580, 580, 0, 1, 31, 0.00, 0.03, 0.03
RF-501, Circle, RotVec, 14, 0.99, 0.95, 48, 564, 561, 3, 5, 43, 0.01, 0.10, 0.09
RF-501, Circle, RotVec, 15, 0.98, 0.83, 32, 580, 580, 0, 11, 21, 0.00, 0.34, 0.26
RF-501, Updown, RotVec, 1, 1.00, 0.99, 40, 512, 512, 0, 1, 39, 0.00, 0.03, 0.02
RF-501, Updown, RotVec, 2, 0.99, 0.96, 41, 511, 511, 0, 3, 38, 0.00, 0.07, 0.07
RF-501, Updown, RotVec, 3, 0.96, 0.86, 55, 497, 488, 9, 14, 41, 0.02, 0.25, 0.21
RF-501, Updown, RotVec, 4, 0.99, 0.92, 26, 526, 526, 0, 4, 22, 0.00, 0.15, 0.13
RF-501, Updown, RotVec, 5, 0.99, 0.94, 33, 519, 518, 1, 4, 29, 0.00, 0.12, 0.11
RF-501, Updown, RotVec, 6, 1.00, 0.99, 43, 509, 509, 0, 1, 42, 0.00, 0.02, 0.02
RF-501, Updown, RotVec, 7, 0.98, 0.86, 30, 522, 520, 2, 8, 22, 0.00, 0.27, 0.21
RF-501, Updown, RotVec, 8, 0.99, 0.95, 31, 521, 520, 1, 3, 28, 0.00, 0.10, 0.09
RF-501, Updown, RotVec, 9, 0.98, 0.88, 39, 513, 511, 2, 9, 30, 0.00, 0.23, 0.19
RF-501, Updown, RotVec, 10, 0.98, 0.84, 28, 524, 524, 0, 9, 19, 0.00, 0.32, 0.24
RF-501, Updown, RotVec, 11, 0.99, 0.89, 23, 529, 529, 0, 5, 18, 0.00, 0.22, 0.18
RF-501, Updown, RotVec, 12, 1.00, 1.00, 32, 520, 520, 0, 0, 32, 0.00, 0.00, 0.00
RF-501, Updown, RotVec, 13, 1.00, 0.98, 28, 524, 523, 1, 1, 27, 0.00, 0.04, 0.03
