ALGORITHM, GESTURE, # OF SELECTED SENSORS, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Tilt, RotVec, 2, 0.99, 0.96, 25, 176, 175, 1, 2, 23, 0.01, 0.08, 0.07
RF-501, Tilt, RotVec, 3, 0.99, 0.91, 16, 185, 185, 0, 3, 13, 0.00, 0.19, 0.16
RF-501, Tilt, RotVec, 4, 0.98, 0.94, 18, 183, 181, 2, 2, 16, 0.01, 0.11, 0.10
RF-501, Tilt, RotVec, 5, 0.99, 0.99, 7, 194, 192, 2, 0, 7, 0.01, 0.00, 0.01
RF-501, Tilt, RotVec, 6, 0.99, 0.90, 10, 191, 190, 1, 2, 8, 0.01, 0.20, 0.17
RF-501, Tilt, RotVec, 7, 0.99, 0.92, 12, 189, 189, 0, 2, 10, 0.00, 0.17, 0.14
RF-501, Tilt, RotVec, 8, 0.98, 0.93, 16, 185, 182, 3, 2, 14, 0.02, 0.12, 0.11
RF-501, Tilt, RotVec, 9, 0.98, 0.99, 9, 192, 188, 4, 0, 9, 0.02, 0.00, 0.02
RF-501, Tilt, RotVec, 10, 0.97, 0.74, 8, 193, 191, 2, 4, 4, 0.01, 0.50, 0.34
RF-501, Tilt, RotVec, 11, 1.00, 1.00, 10, 191, 190, 1, 0, 10, 0.01, 0.00, 0.01
RF-501, Tilt, RotVec, 12, 1.00, 1.00, 10, 191, 191, 0, 0, 10, 0.00, 0.00, 0.00
RF-501, Tilt, RotVec, 13, 1.00, 1.00, 10, 191, 191, 0, 0, 10, 0.00, 0.00, 0.00
RF-501, Tilt, RotVec, 14, 0.99, 0.97, 17, 184, 183, 1, 1, 16, 0.01, 0.06, 0.06
