ALGORITHM, GESTURE, # OF SELECTED FEATURES, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Tilt, 6, 3, 1.00, 0.98, 55, 613, 612, 1, 2, 53, 0.00, 0.04, 0.04
RF-501, Tilt, 6, 4, 1.00, 1.00, 55, 613, 613, 0, 0, 55, 0.00, 0.00, 0.00
RF-501, Tilt, 6, 5, 0.99, 0.92, 37, 631, 629, 2, 6, 31, 0.00, 0.16, 0.14
RF-501, Tilt, 6, 6, 1.00, 0.97, 45, 623, 623, 0, 3, 42, 0.00, 0.07, 0.06
RF-501, Tilt, 6, 7, 1.00, 0.97, 36, 632, 631, 1, 2, 34, 0.00, 0.06, 0.05
RF-501, Tilt, 6, 8, 0.98, 0.90, 42, 626, 623, 3, 8, 34, 0.00, 0.19, 0.16
RF-501, Tilt, 6, 9, 0.99, 0.95, 46, 622, 617, 5, 4, 42, 0.01, 0.09, 0.08
RF-501, Tilt, 6, 10, 0.99, 0.96, 41, 627, 625, 2, 3, 38, 0.00, 0.07, 0.07
RF-501, Tilt, 6, 11, 1.00, 0.98, 28, 640, 640, 0, 1, 27, 0.00, 0.04, 0.03
RF-501, Tilt, 6, 12, 1.00, 1.00, 41, 627, 627, 0, 0, 41, 0.00, 0.00, 0.00
RF-501, Tilt, 6, 13, 1.00, 1.00, 34, 634, 634, 0, 0, 34, 0.00, 0.00, 0.00
RF-501, Tilt, 6, 14, 0.99, 0.95, 55, 613, 610, 3, 5, 50, 0.00, 0.09, 0.08
RF-501, Tilt, 6, 15, 0.99, 0.96, 47, 621, 620, 1, 4, 43, 0.00, 0.09, 0.08
RF-501, Triangle, 6, 1, 0.99, 0.96, 45, 711, 708, 3, 3, 42, 0.00, 0.07, 0.06
RF-501, Triangle, 6, 2, 1.00, 1.00, 57, 699, 699, 0, 0, 57, 0.00, 0.00, 0.00
RF-501, Triangle, 6, 3, 0.99, 0.93, 61, 695, 695, 0, 8, 53, 0.00, 0.13, 0.12
RF-501, Triangle, 6, 4, 0.98, 0.92, 66, 690, 688, 2, 10, 56, 0.00, 0.15, 0.13
RF-501, Triangle, 6, 5, 0.99, 0.92, 44, 712, 711, 1, 7, 37, 0.00, 0.16, 0.14
RF-501, Triangle, 6, 6, 1.00, 1.00, 43, 713, 713, 0, 0, 43, 0.00, 0.00, 0.00
RF-501, Triangle, 6, 7, 1.00, 1.00, 44, 712, 712, 0, 0, 44, 0.00, 0.00, 0.00
RF-501, Triangle, 6, 8, 1.00, 0.99, 49, 707, 706, 1, 1, 48, 0.00, 0.02, 0.02
RF-501, Triangle, 6, 9, 0.99, 0.96, 51, 705, 705, 0, 4, 47, 0.00, 0.08, 0.07
RF-501, Triangle, 6, 10, 0.99, 0.93, 42, 714, 714, 0, 6, 36, 0.00, 0.14, 0.13
RF-501, Triangle, 6, 11, 1.00, 1.00, 35, 721, 721, 0, 0, 35, 0.00, 0.00, 0.00
RF-501, Triangle, 6, 12, 1.00, 1.00, 41, 715, 715, 0, 0, 41, 0.00, 0.00, 0.00
RF-501, Triangle, 6, 13, 1.00, 1.00, 60, 696, 696, 0, 0, 60, 0.00, 0.00, 0.00
RF-501, Triangle, 6, 14, 0.99, 0.98, 48, 708, 704, 4, 2, 46, 0.01, 0.04, 0.04
RF-501, Triangle, 6, 15, 0.98, 0.94, 70, 686, 682, 4, 8, 62, 0.01, 0.11, 0.10
RF-501, Turn, 6, 1, 0.99, 0.97, 85, 590, 585, 5, 4, 81, 0.01, 0.05, 0.05
RF-501, Turn, 6, 2, 0.98, 0.91, 47, 628, 620, 8, 8, 39, 0.01, 0.17, 0.15
RF-501, Turn, 6, 3, 0.99, 0.98, 64, 611, 609, 2, 2, 62, 0.00, 0.03, 0.03
RF-501, Turn, 6, 4, 1.00, 0.99, 43, 632, 632, 0, 1, 42, 0.00, 0.02, 0.02
RF-501, Turn, 6, 5, 1.00, 0.96, 39, 636, 636, 0, 3, 36, 0.00, 0.08, 0.07
RF-501, Turn, 6, 6, 0.97, 0.87, 51, 624, 617, 7, 13, 38, 0.01, 0.25, 0.20
RF-501, Turn, 6, 7, 0.99, 0.92, 31, 644, 644, 0, 5, 26, 0.00, 0.16, 0.14
RF-501, Turn, 6, 8, 0.99, 0.93, 41, 634, 634, 0, 6, 35, 0.00, 0.15, 0.13
RF-501, Turn, 6, 9, 0.99, 0.93, 50, 625, 623, 2, 7, 43, 0.00, 0.14, 0.12
RF-501, Turn, 6, 10, 0.99, 0.97, 32, 643, 640, 3, 2, 30, 0.00, 0.06, 0.06
