ALGORITHM, GESTURE, # OF SELECTED SENSORS, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Turn, RotVecMagField, 13, 1.00, 1.00, 4, 98, 98, 0, 0, 4, 0.00, 0.00, 0.00
RF-501, Turn, RotVecMagField, 14, 1.00, 1.00, 8, 94, 94, 0, 0, 8, 0.00, 0.00, 0.00
RF-501, Turn, RotVecMagField, 15, 0.99, 0.94, 8, 94, 94, 0, 1, 7, 0.00, 0.12, 0.11
RF-501, Square, RotVecMagField, 1, 0.94, 0.71, 12, 109, 109, 0, 7, 5, 0.00, 0.58, 0.37
RF-501, Square, RotVecMagField, 2, 0.98, 0.99, 9, 112, 110, 2, 0, 9, 0.02, 0.00, 0.02
RF-501, Square, RotVecMagField, 3, 1.00, 1.00, 14, 107, 107, 0, 0, 14, 0.00, 0.00, 0.00
RF-501, Square, RotVecMagField, 4, 0.99, 0.92, 6, 115, 115, 0, 1, 5, 0.00, 0.17, 0.14
RF-501, Square, RotVecMagField, 5, 0.98, 0.81, 8, 113, 113, 0, 3, 5, 0.00, 0.38, 0.27
RF-501, Square, RotVecMagField, 6, 1.00, 1.00, 6, 115, 115, 0, 0, 6, 0.00, 0.00, 0.00
RF-501, Square, RotVecMagField, 7, 0.98, 0.86, 7, 114, 114, 0, 2, 5, 0.00, 0.29, 0.22
RF-501, Square, RotVecMagField, 8, 0.99, 1.00, 4, 117, 116, 1, 0, 4, 0.01, 0.00, 0.01
RF-501, Square, RotVecMagField, 9, 0.97, 0.71, 7, 114, 114, 0, 4, 3, 0.00, 0.57, 0.36
RF-501, Square, RotVecMagField, 10, 0.98, 0.62, 4, 117, 117, 0, 3, 1, 0.00, 0.75, 0.43
RF-501, Square, RotVecMagField, 11, 1.00, 1.00, 3, 118, 118, 0, 0, 3, 0.00, 0.00, 0.00
RF-501, Square, RotVecMagField, 12, 0.99, 0.95, 11, 110, 110, 0, 1, 10, 0.00, 0.09, 0.08
RF-501, Square, RotVecMagField, 13, 1.00, 1.00, 7, 114, 114, 0, 0, 7, 0.00, 0.00, 0.00
RF-501, Square, RotVecMagField, 14, 0.97, 0.80, 10, 111, 111, 0, 4, 6, 0.00, 0.40, 0.29
RF-501, Square, RotVecMagField, 15, 0.94, 0.73, 13, 108, 108, 0, 7, 6, 0.00, 0.54, 0.35
RF-501, Circle, AccGyrRotVec, 1, 1.00, 1.00, 6, 86, 86, 0, 0, 6, 0.00, 0.00, 0.00
RF-501, Circle, AccGyrRotVec, 2, 0.99, 0.92, 6, 86, 86, 0, 1, 5, 0.00, 0.17, 0.14
RF-501, Circle, AccGyrRotVec, 3, 0.96, 0.75, 8, 84, 84, 0, 4, 4, 0.00, 0.50, 0.33
RF-501, Circle, AccGyrRotVec, 4, 0.92, 0.56, 8, 84, 84, 0, 7, 1, 0.00, 0.88, 0.47
RF-501, Circle, AccGyrRotVec, 5, 0.98, 0.83, 6, 86, 86, 0, 2, 4, 0.00, 0.33, 0.25
RF-501, Circle, AccGyrRotVec, 6, 0.99, 0.94, 8, 84, 84, 0, 1, 7, 0.00, 0.12, 0.11
RF-501, Circle, AccGyrRotVec, 7, 0.99, 0.92, 6, 86, 86, 0, 1, 5, 0.00, 0.17, 0.14
RF-501, Circle, AccGyrRotVec, 8, 0.99, 0.99, 5, 87, 86, 1, 0, 5, 0.01, 0.00, 0.01
RF-501, Circle, AccGyrRotVec, 9, 0.95, 0.69, 8, 84, 84, 0, 5, 3, 0.00, 0.62, 0.38
RF-501, Circle, AccGyrRotVec, 10, 0.99, 0.90, 5, 87, 87, 0, 1, 4, 0.00, 0.20, 0.17
RF-501, Circle, AccGyrRotVec, 11, 0.99, 0.88, 4, 88, 88, 0, 1, 3, 0.00, 0.25, 0.20
RF-501, Circle, AccGyrRotVec, 12, 0.99, 0.99, 6, 86, 85, 1, 0, 6, 0.01, 0.00, 0.01
RF-501, Circle, AccGyrRotVec, 13, 0.99, 0.92, 6, 86, 86, 0, 1, 5, 0.00, 0.17, 0.14
RF-501, Circle, AccGyrRotVec, 14, 0.98, 0.92, 7, 85, 84, 1, 1, 6, 0.01, 0.14, 0.13
RF-501, Circle, AccGyrRotVec, 15, 0.99, 0.83, 3, 89, 89, 0, 1, 2, 0.00, 0.33, 0.25
RF-501, Updown, AccGyrRotVec, 1, 0.95, 0.71, 7, 76, 76, 0, 4, 3, 0.00, 0.57, 0.36
RF-501, Updown, AccGyrRotVec, 2, 1.00, 1.00, 6, 77, 77, 0, 0, 6, 0.00, 0.00, 0.00
